diagnosis,medicines
Viral Fever,"Paracetamol 500mg,Cetrizine 10mg,Vitamin C"
Common Cold,"Paracetamol 500mg,Cetrizine 10mg,Cough Syrup"
Headache,"Paracetamol 500mg,Ibuprofen 400mg"
Stomach Pain,"Pantoprazole 40mg,Simethicone 40mg,Probiotics"
Allergic Reaction,"Cetrizine 10mg,Prednisolone 5mg,Calamine Lotion"
Cough,"Cough Syrup,Ambroxol 30mg,Honey"
Sore Throat,"Azithromycin 500mg,Paracetamol 500mg,Throat Lozenges"
Diarrhea,"ORS,Loperamide 2mg,Probiotics"
Constipation,"Isabgol,Lactulose 15ml,Plenty of Water"
Hypertension,"Amlodipine 5mg,Telmisartan 40mg,Low Salt Diet"
Diabetes,"Metformin 500mg,Glimepiride 1mg,Diabetic Diet"
Anxiety,"Alprazolam 0.25mg,Propranolol 10mg,Relaxation Techniques"
Insomnia,"Melatonin 3mg,Zolpidem 5mg,Sleep Hygiene"
Acidity,"Pantoprazole 40mg,Domperidone 10mg,Antacid"
Migraine,"Sumatriptan 50mg,Paracetamol 500mg,Rest in Dark Room"
Skin Rash,"Cetrizine 10mg,Calamine Lotion,Moisturizer"
Urinary Infection,"Nitrofurantoin 100mg,Cranberry Juice,Plenty of Water"
Bronchitis,"Azithromycin 500mg,Salbutamol Inhaler,Steam Inhalation"
Gastritis,"Pantoprazole 40mg,Sucralfate 1g,Bland Diet"
Joint Pain,"Diclofenac 50mg,Paracetamol 500mg,Hot Compress"